sample,AK5,C12orf75,CAMKK1,CD1C,CD38,CHSY1,CLEC10A,CYB561,DDIT4,DHRS13,DTYMK,EPHX2,FKBP4,GHRL,GNG2,GPCPD1,GZMB,ID3,IL13RA1,IL1B,LLGL2,MEGF6,MS4A3,MUM1,NPEPL1,NR1D1,NR1D2,NSUN3,PARP2,PDK1,PER1,PGPEP1,POLH,REM2,SH2D1B,SLPI,STIP1,SYT11,TCN1,TIAM2,ZNF438,target
GSM1526434,9.350327963,8.213002052,4.607318653,8.99702898,8.332232093,12.11149319,5.300044929,9.390878785,10.2885868,9.972530805,8.272764807,10.2162022,5.551313021,9.928973015,7.684653374,11.87045423,12.82257375,10.02700974,13.45947733,13.12499496,7.536489403,8.434545089,5.920803454,8.77834985,12.15816556,8.731366563,9.009735535,7.226347366,8.89172919,9.842465478,8.149555891,9.153778064,7.623832527,4.087577278,5.392309331,8.170100597,7.053449394,5.761918581,7.65774786,10.74446526,11.61271949,20
GSM1526434_1,9.360327963,8.223002052,4.617318653,9.00702898,8.342232093,12.12149319,5.310044929,9.400878785,10.2985868,9.982530805,8.282764807,10.2262022,5.561313021,9.938973015,7.694653374,11.88045423,12.83257375,10.03700974,13.46947733,13.13499496,7.546489403,8.444545089,5.930803454,8.78834985,12.16816556,8.741366563,9.019735535,7.236347366,8.90172919,9.852465478,8.159555891,9.163778064,7.633832527,4.097577278,5.402309331,8.180100597,7.063449394,5.771918581,7.66774786,10.75446526,11.62271949,20.01
GSM1526434_2,9.370327963,8.233002052,4.627318653,9.01702898,8.352232093,12.13149319,5.320044929,9.410878785,10.3085868,9.992530805,8.292764807,10.2362022,5.571313021,9.948973015,7.704653374,11.89045423,12.84257375,10.04700974,13.47947733,13.14499496,7.556489403,8.454545089,5.940803454,8.79834985,12.17816556,8.751366563,9.029735535,7.246347366,8.91172919,9.862465478,8.169555891,9.173778064,7.643832527,4.107577278,5.412309331,8.190100597,7.073449394,5.781918581,7.67774786,10.76446526,11.63271949,20.02
GSM1526435,9.475192424,8.295150711,4.383543549,9.153778064,8.070409085,11.94348421,5.477785591,9.344929797,9.895760388,10.24209749,8.553405671,10.31843701,5.651921964,9.728393932,7.457174047,11.9732194,12.92461614,9.794611238,13.34850869,13.12031732,7.696271271,8.373987993,5.64034355,9.091880805,11.99839789,8.76659062,8.808399905,7.435646445,9.263824423,10.11485631,8.053869565,9.26756454,7.893172766,4.493104213,6.496473006,8.124802052,7.196603793,6.65033561,7.681623037,10.57679359,11.61877725,23.0666666667
GSM1526435_1,9.485192424,8.305150711,4.393543549,9.163778064,8.080409085,11.95348421,5.487785591,9.354929797,9.905760388,10.25209749,8.563405671,10.32843701,5.661921964,9.738393932,7.467174047,11.9832194,12.93461614,9.804611238,13.35850869,13.13031732,7.706271271,8.383987993,5.65034355,9.101880805,12.00839789,8.77659062,8.818399905,7.445646445,9.273824423,10.12485631,8.063869565,9.27756454,7.903172766,4.503104213,6.506473006,8.134802052,7.206603793,6.66033561,7.691623037,10.58679359,11.62877725,23.0766666667
GSM1526435_2,9.495192424,8.315150711,4.403543549,9.173778064,8.090409085,11.96348421,5.497785591,9.364929797,9.915760388,10.26209749,8.573405671,10.33843701,5.671921964,9.748393932,7.477174047,11.9932194,12.94461614,9.814611238,13.36850869,13.14031732,7.716271271,8.393987993,5.66034355,9.111880805,12.01839789,8.78659062,8.828399905,7.455646445,9.283824423,10.13485631,8.073869565,9.28756454,7.913172766,4.513104213,6.516473006,8.144802052,7.216603793,6.67033561,7.701623037,10.59679359,11.63877725,23.0866666667
GSM1526436,9.813844446,8.629593973,4.64385932,9.19554511,8.065741479,11.69033241,5.024891695,9.587991022,9.561019773,9.773068928,8.50797686,10.48641004,5.707340928,9.592009503,7.518112299,12.06331778,12.63932429,10.04601855,12.70548998,12.61673968,7.524960657,8.13943058,4.327814321,8.843136463,11.85228731,9.039724022,9.467656463,7.191819428,9.146528305,10.14338673,8.085243245,9.216458475,8.003400353,3.889160548,5.860798628,7.988934279,7.118007892,6.252242534,6.074044928,10.15157541,11.1874522,2
GSM1526436_1,9.823844446,8.639593973,4.65385932,9.20554511,8.075741479,11.70033241,5.034891695,9.597991022,9.571019773,9.783068928,8.51797686,10.49641004,5.717340928,9.602009503,7.528112299,12.07331778,12.64932429,10.05601855,12.71548998,12.62673968,7.534960657,8.14943058,4.337814321,8.853136463,11.86228731,9.049724022,9.477656463,7.201819428,9.156528305,10.15338673,8.095243245,9.226458475,8.013400353,3.899160548,5.870798628,7.998934279,7.128007892,6.262242534,6.084044928,10.16157541,11.1974522,2.01
GSM1526436_2,9.833844446,8.649593973,4.66385932,9.21554511,8.085741479,11.71033241,5.044891695,9.607991022,9.581019773,9.793068928,8.52797686,10.50641004,5.727340928,9.612009503,7.538112299,12.08331778,12.65932429,10.06601855,12.72548998,12.63673968,7.544960657,8.15943058,4.347814321,8.863136463,11.87228731,9.059724022,9.487656463,7.211819428,9.166528305,10.16338673,8.105243245,9.236458475,8.023400353,3.909160548,5.880798628,8.008934279,7.138007892,6.272242534,6.094044928,10.17157541,11.2074522,2.02
GSM1526437,9.036416081,8.628461811,5.306720327,9.174681253,8.500183906,11.71297737,5.479031783,9.108229653,11.02650558,10.2836106,9.020378149,10.12593158,5.939688914,9.887377742,7.720914675,12.15538985,13.03646439,10.20231112,13.18789613,12.75382503,7.816377566,8.28595115,3.988688853,9.076121949,12.39242871,8.306750093,9.064133002,7.476689303,8.942053864,10.12404664,8.197605858,9.403839793,7.626672185,4.30680073,6.49205303,9.043800233,7.43946376,6.327527367,6.911033828,10.602393,11.31645852,12.1666666667
