sample,AK5,C12orf75,CAMKK1,CD1C,CD38,CHSY1,CLEC10A,CYB561,DDIT4,DHRS13,DTYMK,EPHX2,FKBP4,GHRL,GNG2,GPCPD1,GZMB,ID3,IL13RA1,IL1B,LLGL2,MEGF6,MS4A3,MUM1,NPEPL1,NR1D1,NR1D2,NSUN3,PARP2,PDK1,PER1,PGPEP1,POLH,REM2,SH2D1B,SLPI,STIP1,SYT11,TCN1,TIAM2,ZNF438,target
GSM1168586,9.2374765061,9.1305917551,4.4379806363,9.6545261034,7.8961429493,12.1072584026,6.209136351,9.8079297642,10.0919870314,9.9683466728,8.0977392473,10.0729142108,5.5823251465,10.3386546954,7.7305359025,11.7520455392,13.4985516659,9.6669741397,13.0473059376,12.3059224985,7.9033978963,9.1482375827,6.464320454,9.1509826711,12.6630294328,8.5351314742,8.2778194439,7.8552657344,8.9138255187,9.7647852939,8.0169615799,9.0636711568,7.4206284767,4.286362407,6.7481874688,8.7037863614,7.4807258923,6.0812055635,9.0407835613,9.1169541003,10.8291632898,22.25
GSM1168586_1,9.2474765061,9.1405917551,4.4479806363,9.6645261034,7.9061429493,12.1172584026,6.219136351,9.8179297642,10.1019870314,9.9783466728,8.1077392473,10.0829142108,5.5923251465,10.3486546954,7.7405359025,11.7620455392,13.5085516659,9.6769741397,13.0573059376,12.3159224985,7.9133978963,9.1582375827,6.474320454,9.1609826711,12.6730294328,8.5451314742,8.2878194439,7.8652657344,8.9238255187,9.7747852939,8.0269615799,9.0736711568,7.4306284767,4.296362407,6.7581874688,8.7137863614,7.4907258923,6.0912055635,9.0507835613,9.1269541003,10.8391632898,22.26
GSM1168586_2,9.2574765061,9.1505917551,4.4579806363,9.6745261034,7.9161429493,12.1272584026,6.229136351,9.8279297642,10.1119870314,9.9883466728,8.1177392473,10.0929142108,5.6023251465,10.3586546954,7.7505359025,11.7720455392,13.5185516659,9.6869741397,13.0673059376,12.3259224985,7.9233978963,9.1682375827,6.484320454,9.1709826711,12.6830294328,8.5551314742,8.2978194439,7.8752657344,8.9338255187,9.7847852939,8.0369615799,9.0836711568,7.4406284767,4.306362407,6.7681874688,8.7237863614,7.5007258923,6.1012055635,9.0607835613,9.1369541003,10.8491632898,22.27
GSM1168586_3,9.2674765061,9.1605917551,4.4679806363,9.6845261034,7.9261429493,12.1372584026,6.239136351,9.8379297642,10.1219870314,9.9983466728,8.1277392473,10.1029142108,5.6123251465,10.3686546954,7.7605359025,11.7820455392,13.5285516659,9.6969741397,13.0773059376,12.3359224985,7.9333978963,9.1782375827,6.494320454,9.1809826711,12.6930294328,8.5651314742,8.3078194439,7.8852657344,8.9438255187,9.7947852939,8.0469615799,9.0936711568,7.4506284767,4.316362407,6.7781874688,8.7337863614,7.5107258923,6.1112055635,9.0707835613,9.1469541003,10.8591632898,22.28
GSM1168587,9.4856441746,9.185164403,4.0663571987,9.5618633839,7.6526090851,11.865731726,6.1593401632,10.0082290857,9.2339538281,9.5828296159,7.7339654215,10.2503452475,4.6626079643,10.2128517104,7.5885901067,11.8469335813,12.9308227697,9.670519331,13.0148032207,12.1277156028,7.7922904684,8.9117467509,6.4285242395,8.904500638,12.4917865273,9.159833227,8.7272006082,7.7214300903,9.1348688247,9.6018652154,8.2174078024,8.8691089326,7.5478885433,3.5045317539,5.6151002941,8.5489591164,6.9642065663,5.4243054038,8.6877149257,9.2953057098,10.5794711388,2.1666666667
GSM1168587_1,9.4956441746,9.195164403,4.0763571987,9.5718633839,7.6626090851,11.875731726,6.1693401632,10.0182290857,9.2439538281,9.5928296159,7.7439654215,10.2603452475,4.6726079643,10.2228517104,7.5985901067,11.8569335813,12.9408227697,9.680519331,13.0248032207,12.1377156028,7.8022904684,8.9217467509,6.4385242395,8.914500638,12.5017865273,9.169833227,8.7372006082,7.7314300903,9.1448688247,9.6118652154,8.2274078024,8.8791089326,7.5578885433,3.5145317539,5.6251002941,8.5589591164,6.9742065663,5.4343054038,8.6977149257,9.3053057098,10.5894711388,2.1766666667
GSM1168587_2,9.5056441746,9.205164403,4.0863571987,9.5818633839,7.6726090851,11.885731726,6.1793401632,10.0282290857,9.2539538281,9.6028296159,7.7539654215,10.2703452475,4.6826079643,10.2328517104,7.6085901067,11.8669335813,12.9508227697,9.690519331,13.0348032207,12.1477156028,7.8122904684,8.9317467509,6.4485242395,8.924500638,12.5117865273,9.179833227,8.7472006082,7.7414300903,9.1548688247,9.6218652154,8.2374078024,8.8891089326,7.5678885433,3.5245317539,5.6351002941,8.5689591164,6.9842065663,5.4443054038,8.7077149257,9.3153057098,10.5994711388,2.1866666667
GSM1168587_3,9.5156441746,9.215164403,4.0963571987,9.5918633839,7.6826090851,11.895731726,6.1893401632,10.0382290857,9.2639538281,9.6128296159,7.7639654215,10.2803452475,4.6926079643,10.2428517104,7.6185901067,11.8769335813,12.9608227697,9.700519331,13.0448032207,12.1577156028,7.8222904684,8.9417467509,6.4585242395,8.934500638,12.5217865273,9.189833227,8.7572006082,7.7514300903,9.1648688247,9.6318652154,8.2474078024,8.8991089326,7.5778885433,3.5345317539,5.6451002941,8.5789591164,6.9942065663,5.4543054038,8.7177149257,9.3253057098,10.6094711388,2.1966666667
GSM1168588,9.4654996331,8.9943844515,4.2627731463,9.2423874384,7.7054532623,11.8632933888,5.9000924447,9.8168031355,10.3376041618,9.5989262294,7.844914988,10.3392878315,4.8006341511,10.4765545202,7.8218953662,11.8767473457,12.7036946906,9.6775883763,12.9716226339,12.070969175,7.8271303779,9.0012099148,6.1117512105,8.6494501981,12.7334209879,9.1249194081,8.6544226503,7.8476545232,8.9946244052,9.9580200458,8.3551551363,9.0841007591,7.5974328261,3.6985079164,6.0199571991,8.6637535424,6.9895586586,5.4182648863,8.5532661597,,10.5251766119,6.25
GSM1168588_1,9.4754996331,9.0043844515,4.2727731463,9.2523874384,7.7154532623,11.8732933888,5.9100924447,9.8268031355,10.3476041618,9.6089262294,7.854914988,10.3492878315,4.8106341511,10.4865545202,7.8318953662,11.8867473457,12.7136946906,9.6875883763,12.9816226339,12.080969175,7.8371303779,9.0112099148,6.1217512105,8.6594501981,12.7434209879,9.1349194081,8.6644226503,7.8576545232,9.0046244052,9.9680200458,8.3651551363,9.0941007591,7.6074328261,3.7085079164,6.0299571991,8.6737535424,6.9995586586,5.4282648863,8.5632661597,,10.5351766119,6.26
GSM1168588_2,9.4854996331,9.0143844515,4.2827731463,9.2623874384,7.7254532623,11.8832933888,5.9200924447,9.8368031355,10.3576041618,9.6189262294,7.864914988,10.3592878315,4.8206341511,10.4965545202,7.8418953662,11.8967473457,12.7236946906,9.6975883763,12.9916226339,12.090969175,7.8471303779,9.0212099148,6.1317512105,8.6694501981,12.7534209879,9.1449194081,8.6744226503,7.8676545232,9.0146244052,9.9780200458,8.3751551363,9.1041007591,7.6174328261,3.7185079164,6.0399571991,8.6837535424,7.0095586586,5.4382648863,8.5732661597,,10.5451766119,6.27
GSM1168588_3,9.4954996331,9.0243844515,4.2927731463,9.2723874384,7.7354532623,11.8932933888,5.9300924447,9.8468031355,10.3676041618,9.6289262294,7.874914988,10.3692878315,4.8306341511,10.5065545202,7.8518953662,11.9067473457,12.7336946906,9.7075883763,13.0016226339,12.100969175,7.8571303779,9.0312099148,6.1417512105,8.6794501981,12.7634209879,9.1549194081,8.6844226503,7.8776545232,9.0246244052,9.9880200458,8.3851551363,9.1141007591,7.6274328261,3.7285079164,6.0499571991,8.6937535424,7.0195586586,5.4482648863,8.5832661597,,10.5551766119,6.28
GSM1168589,8.8373249333,9.1293568533,,9.1534607347,7.6409331844,11.7242588822,6.3371885091,9.6558634942,10.4717284584,9.7266876734,7.940051364,9.8806513698,5.4977179576,10.7671629096,7.9260104174,11.7856150086,13.0976703247,9.5367734197,13.5723311164,12.0878192371,7.5865574412,8.7303096845,6.6901851021,8.9305126968,12.718621434,8.3962838299,8.7563438206,8.0333063282,8.610183311,9.7303184158,8.4691245677,9.1298635775,7.1895284517,3.8732993408,6.3446811836,8.9750556616,7.2266261895,5.8988379743,8.9953540215,9.1343656317,10.5764924772,10.25
GSM1168589_1,8.8473249333,9.1393568533,,9.1634607347,7.6509331844,11.7342588822,6.3471885091,9.6658634942,10.4817284584,9.7366876734,7.950051364,9.8906513698,5.5077179576,10.7771629096,7.9360104174,11.7956150086,13.1076703247,9.5467734197,13.5823311164,12.0978192371,7.5965574412,8.7403096845,6.7001851021,8.9405126968,12.728621434,8.4062838299,8.7663438206,8.0433063282,8.620183311,9.7403184158,8.4791245677,9.1398635775,7.1995284517,3.8832993408,6.3546811836,8.9850556616,7.2366261895,5.9088379743,9.0053540215,9.1443656317,10.5864924772,10.26
GSM1168589_2,8.8573249333,9.1493568533,,9.1734607347,7.6609331844,11.7442588822,6.3571885091,9.6758634942,10.4917284584,9.7466876734,7.960051364,9.9006513698,5.5177179576,10.7871629096,7.9460104174,11.8056150086,13.1176703247,9.5567734197,13.5923311164,12.1078192371,7.6065574412,8.7503096845,6.7101851021,8.9505126968,12.738621434,8.4162838299,8.7763438206,8.0533063282,8.630183311,9.7503184158,8.4891245677,9.1498635775,7.2095284517,3.8932993408,6.3646811836,8.9950556616,7.2466261895,5.9188379743,9.0153540215,9.1543656317,10.5964924772,10.27
GSM1168589_3,8.8673249333,9.1593568533,,9.1834607347,7.6709331844,11.7542588822,6.3671885091,9.6858634942,10.5017284584,9.7566876734,7.970051364,9.9106513698,5.5277179576,10.7971629096,7.9560104174,11.8156150086,13.1276703247,9.5667734197,13.6023311164,12.1178192371,7.6165574412,8.7603096845,6.7201851021,8.9605126968,12.748621434,8.4262838299,8.7863438206,8.0633063282,8.640183311,9.7603184158,8.4991245677,9.1598635775,7.2195284517,3.9032993408,6.3746811836,9.0050556616,7.2566261895,5.9288379743,9.0253540215,9.1643656317,10.6064924772,10.28
